a,b,c,d,e,f,g,hh,i,j
ERGO CREATIVE SOLUTIONS PVT LTD,,,, BANGALOREKARNATAKA ,.,0.1,1,213105377,709012241
KARLE INFRA PRIVATE LIMITED,,,,BANGALORE KARNATAKA ,.,0.1,1,213105392,710009933
KRUEGER INTERNATIONAL,,,,JIGANI INDUSTRIAL AREA AN,.,0.1,1,213105402,710022417
MANGALAM IMPEX,,,,"T J M ROAD CRS, BANGALORE",.,0.1,1,213105403,710024673
MAGNUM GLASS CONCEPTS,,,,BANGALORE KARNATAKA ,.,0.1,1,213105405,710026617
FRONTIER MODULAR DESIGNS,,,,BANGALORE KARNATAKA ,.,0.1,1,213105411,710031033
MPEE KITCHENETTE PRIVATE LIMITED,,,,ELE INDL  KARNATAKA ,.,0.1,1,213105419,711005176
NANDINI TRADING,,,,BANGALORE KARNATAKA ,.,0.1,1,213105422,711009228
CLT POLYMER AND RUBBERS PVT LTD,,,,BANGALORE KARNATAKA ,.,0.1,1,213105426,711014671
B AND B TRIPLEWALL CONTAINERS,,,,BANGALORE KARNATAKA ,.,0.1,1,213105430,0711020345_1
MNM TRIPLEWALL CONTAINERS PRIVATE L,,,, BANGALOREKARNATAKA ,.,0.1,1,213105431,0711020345_2
NATIONAL CHROMATOGRAPHY INCO,,,,BENGALURU KARNATAKA ,.,0.1,1,213105434,711023344
VEC SOLUTIONS,,,,BANGALORE KARNATAKA ,.,0.1,1,213105435,711024448
DEENA TECHNOLOGIES,,,,BENGALURU KARNATAKA ,.,0.1,1,213105438,711037299
BANK NOTE PAPER MILL INDIA PVT LTD,,,,RE 560 029   100000,.,0.1,1,213105440,712000364
LEWIS,,,,BANGALORE KARNATAKA ,.,0.1,1,213105442,712002073
SHREE CEMV INTERNATIONAL,,,,BANGALORE KARNATAKA ,.,0.1,1,213105443,712003151
DCNET SOLUTIONS INDIA PVT LTD,,,,BENGALURU KARNATAKA ,.,0.1,1,213105447,712006583
CONNEXIA RENEWABLE ENERGY,,,,ALLI VILLAGE BANGALORE IN,.,0.1,1,213105455,712023721
DHRUVA SPACE PVT LTD,,,,HYDERABAD TELANGANA ,.,0.1,1,213105460,712032991
STONE SOURCE INC INDIA,,,,BANGALORE KARNATAKA ,.,0.1,1,213105467,713011076
METAL LETTERS INDIA,,,,VISWANEEDAM POSTPEENYA II,.,0.1,1,213105470,713016558
