B,BNNB,NBNB,NBNB,C,D,NBNB,NBNB,FF,A
M/S. SURAJ MANI ENGINEERS PVT LTD,,,,BANGALORE,560043,0.1,1,212507135,1
SHAKTI CONSTRUCTION COMPANY,,,,AURANGABAD,431006,0.1,1,212507134,2
MS MAJGI ENTERPRISES,,,,BELLARY,583201,0.1,1,212507133,3
SRI MANJUNATHA ELECTRICALS,,,,BANGALORE,560070,0.1,1,212507132,4
GAJANAND POLYMERS,,,,AHMEDABAD,382435,0.1,1,212507131,5
I C JAIN,,,,JHABUA,457887,0.1,1,212507130,6
UNIQUE CONSTRUCTION,,,,PUNE,412105,0.1,1,212507129,7
KASJAN TECHSERVE ENTERPRISES LLP,,,,LUCKNOW,226021,0.1,1,212507128,8
MEATTLES PRIVATE LIMITED OWNERS STOREWELL WAREHOUSING AGENCY,,,,NEW DELHI,110006,0.1,1,212507127,9
KITE INFOCOM VISION PVT. LTD.,,,,DELHI,110062,0.1,1,212507126,10
M/S CARBO CHEM INDUSTRIES,,,,BATHINDA,151001,0.1,1,212507125,11
SESCON BUILDERS PVT LTD,,,,NEW DELHI,110019,0.1,1,212507124,12
APPOLO COMPUTERS PVT LTD,,,,NEW DELHI,110019,0.1,1,212507123,13
MS CER ROOFTOP PVT. LTD.,,,,GURGAON,122018,0.1,1,212507122,14
SHREENATH AGENCY,,,,AHMEDABAD,380001,0.1,1,212507121,15
WOODLOY ENTERPRISE PRIVATE LIMITED,,,,AHMEDABAD,382405,0.1,1,212507120,16
JBS ENTERPRISES PRIVATE LTD,,,,THANE,400601,0.1,1,212507119,17
PRIYA METALS REP BY PANKAJ KUMAR JAIN,,,,HYDERABAD,500012,0.1,1,212507118,18
AGRAWAL DRUGS PVT LTD,,,,HARIDWAR,249403,0.1,1,212507117,19
M/S BALAJI TRADERS,,,,SONITPUR,784027,0.1,1,212507116,20
NITHINS AIRCON PVT LTD,,,,KANCHIPURAM,600116,0.1,1,212507235,21
KESHAYONA PROCON LTD,,,,RAJKOT,360380,0.1,1,212507234,22
M/S TUNGSTEN MARKETING,,,,NAGPUR,440018,0.1,1,212507233,23
SILPA PROJECTS AND INFRASTRUCTURE INDIA PVT LTD,,,,ERNAKULAM,682018,0.1,1,212507232,24
SARAN AIRCON PRIVATE LIMITED,,,,NEW DELHI,110018,0.1,1,212507231,25
GUDURI FNB ENTERPRISES,,,,HYDERABAD,500029,0.1,1,212507230,26
RAMKUMAR P C/O SEED FOR SAFETY,,,,KANCHIPURAM,600129,0.1,1,212507229,27
SILPA PROJECTS AND INFRASTRUCTURE INDIA PVT LTD,,,,ERNAKULAM,682018,0.1,1,212507228,28
SRR PROJECTS PRIVATE LIMITED,,,,HYDERABAD,500081,0.1,1,212507227,29
TAWAKKAL ELECTRICALS,,,,PUNE,411015,0.1,1,212507226,30
